tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,data-processing-software,deployment-end-type,deployment-id,duty-cycle,manipulation-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
CornwallLolaTag,CornwallLola,Felis catus,,,,,,,collar,@Trip PC,removal,CornwallLola,3-min fixes,,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Gingernut,Gingernut,Felis catus,2015-03-13 12:04:07.000,2015-03-21 11:32:43.000,Hunt: Yes; prey_p_month: 11,2 years,Neutered,m,collar,@Trip PC,removal,Gingernut,3-min fixes,hrs_indoors: 2; inside_overnight: no,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
TabithaTag,Tabitha,Felis catus,2015-04-08 12:01:55.000,2015-04-16 05:00:22.000,Hunt: Yes; prey_p_month: 1,1 year,Spayed,f,collar,@Trip PC,removal,Tabitha,3-min fixes,hrs_indoors: 10; inside_overnight: no,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
KittyTag,Kitty,Felis catus,2015-04-08 12:02:40.000,2015-04-12 22:53:06.000,Hunt: Yes; prey_p_month: 1,14 years,Spayed,f,collar,@Trip PC,removal,Kitty,3-min fixes,hrs_indoors: 8; inside_overnight: no,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MurphyTag,Murphy,Felis catus,2015-04-08 12:03:10.000,2015-04-12 15:48:30.000,Hunt: Yes; prey_p_month: 2,5 years,Neutered,m,collar,@Trip PC,removal,Murphy,3-min fixes,hrs_indoors: 8; inside_overnight: no,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
PandaTag,Panda,Felis catus,2015-04-08 14:47:26.000,2015-04-14 19:18:52.000,Hunt: Yes; prey_p_month: 1,3 years,Spayed,f,collar,@Trip PC,removal,Panda,3-min fixes,hrs_indoors: 10; inside_overnight: yes,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
BootsIITag,BootsII,Felis catus,2015-04-09 00:02:06.000,2015-04-16 10:13:59.000,Hunt: ; prey_p_month:,,, ,collar,@Trip PC,removal,BootsII,3-min fixes,hrs_indoors: ; inside_overnight:,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
GarfieldTag,Garfield,Felis catus,2015-04-09 00:19:26.000,2015-04-12 19:00:58.000,Hunt: ; prey_p_month:,,,m,collar,@Trip PC,removal,Garfield,3-min fixes,hrs_indoors: ; inside_overnight:,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
GeordieTag,Geordie,Felis catus,2015-04-09 12:01:06.000,2015-04-15 22:31:52.000,Hunt: Yes; prey_p_month: 1,,Spayed,f,collar,@Trip PC,removal,Geordie,3-min fixes,hrs_indoors: 12; inside_overnight: no,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
FritzTag,Fritz,Felis catus,2015-04-09 12:01:43.000,2015-04-15 19:07:03.000,Hunt: Yes; prey_p_month: 5,7 years,Neutered,m,collar,@Trip PC,removal,Fritz,3-min fixes,hrs_indoors: 12; inside_overnight: yes,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
BanzaiTag,Banzai,Felis catus,2015-04-10 00:02:32.000,2015-04-18 14:25:50.000,Hunt: Yes; prey_p_month: 1,3 years,Neutered,m,collar,@Trip PC,removal,Banzai,3-min fixes,hrs_indoors: 15; inside_overnight: yes,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
NekoTag,Neko,Felis catus,2015-04-10 01:03:41.000,2015-04-15 19:11:28.000,Hunt: Yes; prey_p_month: 1,2 years,Neutered,m,collar,@Trip PC,removal,Neko,3-min fixes,hrs_indoors: 5; inside_overnight: no,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MogadonTag,Mogadon,Felis catus,2015-04-10 01:04:05.000,2015-04-15 16:17:19.000,Hunt: No; prey_p_month:,9 years,Spayed,f,collar,@Trip PC,removal,Mogadon,3-min fixes,hrs_indoors: 23; inside_overnight: no,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SkyTag,Sky,Felis catus,2015-04-13 18:02:18.000,2015-04-20 22:08:26.000,Hunt: Yes; prey_p_month: 2,6 years,Neutered,m,collar,@Trip PC,removal,Sky,3-min fixes,hrs_indoors: 18; inside_overnight: no,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
PussumsTag,Pussums,Felis catus,2015-04-16 18:03:12.000,2015-04-23 21:40:58.000,Hunt: Yes; prey_p_month: 21,5 years,Neutered,m,collar,@Trip PC,removal,Pussums,3-min fixes,hrs_indoors: 4; inside_overnight: no,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SmudgeTag,Smudge,Felis catus,2015-04-17 13:00:17.000,2015-04-24 16:57:44.000,Hunt: Yes; prey_p_month: 3,4 years,Neutered,m,collar,@Trip PC,removal,Smudge,3-min fixes,hrs_indoors: 10; inside_overnight: no,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
TacoTag,Taco,Felis catus,2015-04-17 13:01:41.000,2015-04-26 13:38:15.000,Hunt: Yes; prey_p_month: 5,1 year,Neutered,m,collar,@Trip PC,removal,Taco,3-min fixes,hrs_indoors: 8; inside_overnight: no,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
BlackieTag,Blackie,Felis catus,2015-04-17 13:01:47.000,2015-04-21 20:59:45.000,Hunt: Yes; prey_p_month: 3,9 years,Neutered,m,collar,@Trip PC,removal,Blackie,3-min fixes,hrs_indoors: ; inside_overnight: no,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
TiggerTag,Tigger,Felis catus,2015-04-18 00:02:03.000,2015-04-26 03:01:48.000,Hunt: Yes; prey_p_month: 11,6 years,Neutered,m,collar,@Trip PC,removal,Tigger,3-min fixes,hrs_indoors: 8; inside_overnight: no,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SpecklesTag,Speckles1,Felis catus,2015-04-18 00:02:32.000,2015-04-23 06:43:01.000,Hunt: Yes; prey_p_month: 7,0.8 years,Spayed,f,collar,@Trip PC,removal,Speckles1,3-min fixes,hrs_indoors: 6; inside_overnight: no,manipulated other,New Zealand,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
